question_type,level_1,document_id,document_source,document_url,category,umls_cui,umls_semantic_types,umls_semantic_group,synonyms,question_id,question_focus,question,answer
causes,8392,0004813,GARD,https://rarediseases.info.nih.gov/gard/5657/periodic-fever-aphthous-stomatitis-pharyngitis-and-adenitis,,C0015974|C0038363|C0031350|C0585213|C0001416|C0024205|C0016514,T047|T184,Disorders,PFAPA|Marshall Syndrome,0004813-3,"Periodic fever, aphthous stomatitis, pharyngitis and adenitis","What causes Periodic fever, aphthous stomatitis, pharyngitis and adenitis?","The cause of PFAPA is unknown, although viral or autoimmune causes have been suggested."
causes,7578,0005068,GARD,https://rarediseases.info.nih.gov/gard/7465/prinzmetals-variant-angina,,C2931193|C0002963,T047,Disorders,Prinzmetal angina|Variant angina,0005068-3,Prinzmetal's variant angina,What causes Prinzmetal's variant angina?,"Prinzmetal's variant angina is caused by coronary artery spasms. A coronary artery spasm is a temporary, abrupt, and focal (restricted to one location) contraction of the muscles in the wall of an artery in the heart. This spasm constricts the artery, slowing or stoping blood flow. A prolonged spasm can cause chest pain, or even a heart attack (myocardial infarction)."
causes,6411,0001640,GARD,https://rarediseases.info.nih.gov/gard/10486/craniopharyngioma,,C0010276,T191,Disorders,Rathke's pouch tumor|Craniopharyngeal duct tumor|Adamantinoma|Adamantinomatous tumor|Dysodontogenic epithelial tumor,0001640-3,Craniopharyngioma,What causes Craniopharyngioma?,Craniopharyngiomas are thought to arise from epithelial remnants of the craniopharyngeal duct or Rathke's pouch (adamantinomatous type tumours) or from metaplasia of squamous epithelial cell rests that are remnants of the part of the stomadeum that contributed to the buccal mucosa (squamous papillary type tumours).
causes,7177,0003540,GARD,https://rarediseases.info.nih.gov/gard/6882/lemierre-syndrome,,C0343525,T047,Disorders,Oropharyngeal infection leading to secondary septic thrombophlebitis of the internal jugular vein|Necrobacillosis,0003540-3,Lemierre syndrome,What causes Lemierre syndrome?,"In about 90% of cases, Lemierre syndrome is caused by Fusobacterium necrophorum; however, the syndrome has also been reported with other bacteria, including Stapylococcus aureus, Bacteroides, Eikenella, Porphyromonas, Prevotella, Proteus, Peptostreptococcus and Streptococcus pyogenes."
causes,12945,0000006_2,CancerGov,https://www.cancer.gov/types/brain/patient/child-brain-treatment-pdq,,C0037930,T191,Disorders,,0000006_2-2,Childhood Brain and Spinal Cord Tumors,What causes Childhood Brain and Spinal Cord Tumors?,The cause of most childhood brain and spinal cord tumors is unknown.
causes,8397,0002735,GARD,https://rarediseases.info.nih.gov/gard/8570/hashimotos-encephalitis,,C0393639|C0014038,T047,Disorders,Hashimoto's encephalopathy|Steroid-responsive encephalopathy associated with autoimmune thyroiditis,0002735-3,Hashimoto's encephalitis,What causes Hashimoto's encephalitis?,"The exact cause of Hashimoto's encephalitis (HE) is unknown, but is thought to relate to autoimmune or other autoinflammatory processes. While it is associated with Hashimoto's thyroiditis, the exact nature of the relationship between the two conditions is unclear. It does not appear to be directly related to hypothyroidism or hyperthyroidism."
causes,9694,0004657,GARD,https://rarediseases.info.nih.gov/gard/7296/ovarian-carcinosarcoma,,C0392998,T191,Disorders,Malignant mixed mullerian tumor of the ovary,0004657-2,Ovarian carcinosarcoma,What causes Ovarian carcinosarcoma?,"Ovarian carcinosarcoma is not thought to be caused by an inherited gene mutation. However, one article in the medical literature suggests that an inherited mutation in the BRCA2 gene contributed to the development of ovarian carcinosarcoma in one woman."
causes,14978,0000029,NIHSeniorHealth,http://nihseniorhealth.gov/periodontaldisease/toc.html,,C0012634,T047,Disorders,,0000029-7,Gum (Periodontal) Disease,What causes Gum (Periodontal) Disease?,Gum disease is caused by dental plaque -- a sticky film of bacteria that builds up on teeth. Regular brushing and flossing help get rid of plaque. But plaque that is not removed can harden and form tartar that brushing doesn't clean. Only a professional cleaning by a dentist or dental hygienist can remove tartar.
causes,10310,0003881,GARD,https://rarediseases.info.nih.gov/gard/10341/megalencephaly-polymicrogyria-and-hydrocephalus-mpph-syndrome,,C0266464|C2720434|C0020255|C0039082|C0221355,T019|T047,Disorders,MPPH syndrome|Megalencephaly and perisylvian polymicrogyria with postaxial polydactyly and hydrocephalus,0003881-3,"Megalencephaly, polymicrogyria, and hydrocephalus (MPPH) syndrome","What causes Megalencephaly, polymicrogyria, and hydrocephalus (MPPH) syndrome?",The cause of MPPH syndrome is unknown. Infection during pregnancy or fetal accident is thought to be unlikely.
causes,6831,0004589,GARD,https://rarediseases.info.nih.gov/gard/3701/orofaciodigital-syndrome-2,,C2931889|C0039082,T047,Disorders,OFD2|OFD syndrome 2|Oral-facial-digital syndrome type 2|Mohr syndrome|Orofaciodigital syndrome II|Orofaciodigital syndromes,0004589-3,Orofaciodigital syndrome 2,What causes Orofaciodigital syndrome 2?,Orofaciodigital syndrome type 2 is caused by mutations (changes) of an as yet unidentified gene.
